,Style,Category,Artist,Title,Year,Is painting,Face or body,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
277,Post Renaissance Art,Baroque,Paul Bril,Landscape with Roman Ruins,1580,yes,face,1.64,0.091,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.455,0.364,0.091,0.091,0.0,0.0,0.0,0.091,0.0,0.0,0.273,0.0
278,Post Renaissance Art,Baroque,Agostino Carracci,"The Holy Family with Sts. Anthony Abbot, Catherine and the Infant St. John",1582,yes,face,1.5,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0
279,Post Renaissance Art,Baroque,Annibale Carracci,The Laughing Youth,1583,yes,face,0.71,0.071,0.071,0.14300000000000002,0.35700000000000004,0.071,0.071,0.071,0.071,0.5710000000000001,0.14300000000000002,0.071,0.28600000000000003,0.071,0.071,0.071,0.071,0.071,0.214,0.14300000000000002,0.0
280,Post Renaissance Art,Baroque,Otto van Veen,"The Artist Painting, Surrounded by His Family",1584,yes,face,1.9,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.5,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.0
283,Post Renaissance Art,Baroque,Agostino Carracci,Titian,1587,yes,face,1.69,0.0,0.077,0.0,0.077,0.0,0.077,0.0,0.077,0.077,0.154,0.0,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.769,0.077
285,Post Renaissance Art,Baroque,Agostino Carracci,"Portrait of Christine of Lorraine, Grand Duchess of Tuscany",1589,yes,face,-0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0
287,Post Renaissance Art,Baroque,Agostino Carracci,The Ecstasy of Saint Catherine,1590,yes,face,1.08,0.0,0.0,0.077,0.0,0.0,0.0,0.154,0.077,0.6920000000000001,0.231,0.308,0.077,0.0,0.0,0.154,0.0,0.0,0.077,0.385,0.0
289,Post Renaissance Art,Baroque,Otto van Veen,The Last Supper,1592,yes,face,1.74,0.158,0.0,0.053,0.0,0.0,0.0,0.105,0.053,0.316,0.263,0.21100000000000002,0.105,0.053,0.105,0.105,0.0,0.0,0.053,0.368,0.0
290,Post Renaissance Art,Baroque,Caravaggio,Young Sick Bacchus,1593,yes,face,1.36,0.0,0.0,0.091,0.182,0.0,0.0,0.273,0.0,0.273,0.182,0.0,0.182,0.091,0.0,0.273,0.091,0.0,0.0,0.182,0.0
291,Post Renaissance Art,Baroque,Caravaggio,Boy with a Basket of Fruit,1593,yes,face,1.9,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.5,0.4,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0
