,Style,Category,Artist,Title,Year,Is painting,Face or body,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
911,Modern Art,Impressionism,Francisco Oller,"La Hacienda Buenavista en Ponce, Puerto Rico",1840,yes,none,2.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0
952,Modern Art,Abstract Expressionism,Victor Hugo,Silhouette fantastique,1854,yes,none,-0.2,0.0,0.2,0.4,0.0,0.0,0.0,0.4,0.1,0.1,0.1,0.0,0.0,0.3,0.1,0.2,0.0,0.0,0.3,0.0,0.0
957,Modern Art,Abstract Expressionism,Victor Hugo,Lace and Ghosts,1856,yes,none,-0.2,0.0,0.2,0.1,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.0
964,Modern Art,Impressionism,Jules Dupre,The Windmill,1859,yes,none,1.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.6,0.3,0.1,0.1,0.0,0.1,0.4,0.0,0.0,0.1,0.2,0.0
978,Modern Art,Impressionism,Edouard Manet,Music in the Tuileries Garden,1862,yes,face,1.63,0.08900000000000001,0.0,0.098,0.125,0.0,0.018000000000000002,0.009000000000000001,0.027000000000000003,0.848,0.161,0.107,0.268,0.018000000000000002,0.0,0.009000000000000001,0.0,0.009000000000000001,0.045,0.214,0.0
982,Modern Art,Impressionism,Berthe Morisot,The Old Track to Auvers,1863,yes,face,2.2,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.1,0.1,0.0,0.4,0.0,0.0,0.2,0.3,0.0
994,Modern Art,Abstract Expressionism,Victor Hugo,Taches with fingerprints,1865,yes,none,0.18,0.0,0.091,0.273,0.0,0.091,0.091,0.273,0.0,0.091,0.091,0.0,0.091,0.091,0.091,0.091,0.0,0.091,0.364,0.091,0.091
997,Modern Art,Impressionism,Claude Monet,Women in the garden,1866,yes,face,2.21,0.039,0.0,0.065,0.013000000000000001,0.013000000000000001,0.0,0.0,0.13,0.792,0.221,0.377,0.28600000000000003,0.0,0.0,0.013000000000000001,0.0,0.013000000000000001,0.039,0.20800000000000002,0.0
1007,Modern Art,Impressionism,Honore Daumier,"Don Quixote, Sancho Pansa and the Dead Mule",1867,yes,face,1.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.1,0.2,0.5,0.1,0.0,0.0,0.1,0.0
1008,Modern Art,Impressionism,Frederic Bazille,Family Reunion,1867,yes,face,2.18,0.091,0.0,0.091,0.0,0.091,0.091,0.182,0.273,0.636,0.364,0.273,0.273,0.0,0.091,0.0,0.0,0.091,0.091,0.273,0.0
1009,Modern Art,Impressionism,Frederic Bazille,The Terrace at M&#233;ric (Oleander),1867,yes,body,1.69,0.077,0.0,0.154,0.077,0.077,0.0,0.154,0.077,0.462,0.308,0.077,0.077,0.077,0.0,0.077,0.0,0.0,0.0,0.231,0.0
1010,Modern Art,Impressionism,Frederic Bazille,Port of the Queen at Aigues-Mortes,1867,yes,face,1.85,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.615,0.385,0.0,0.154,0.0,0.0,0.0,0.0,0.077,0.077,0.154,0.0
1018,Modern Art,Impressionism,Frederic Bazille,View of the Village of Castelnau-le-Lez,1868,yes,face,2.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.364,0.455,0.091,0.273,0.0,0.091,0.182,0.0,0.091,0.0,0.182,0.0
1023,Modern Art,Impressionism,Frederic Bazille,Bathers (Summer Scene),1869,yes,face,1.9,0.1,0.1,0.2,0.2,0.0,0.1,0.1,0.1,0.9,0.3,0.3,0.5,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
1030,Modern Art,Impressionism,Armand Guillaumin,Hollow in the Snow,1869,yes,body,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.41700000000000004,0.16699999999999998,0.0,0.16699999999999998,0.0,0.0,0.5,0.083,0.0,0.0,0.0,0.0
1034,Modern Art,Impressionism,Jules Dupre,Marine Landscape (The Cape and Dunes of Saint-Quentin),1870,yes,none,1.4,0.0,0.0,0.3,0.0,0.0,0.0,0.5,0.1,0.2,0.2,0.0,0.0,0.3,0.1,0.5,0.0,0.0,0.3,0.2,0.0
1036,Modern Art,Impressionism,Jules Dupre,Sunset on the Coast,1870,yes,none,2.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.1,0.4,0.0
1037,Modern Art,Impressionism,Jules Dupre,Calm before the storm,1870,yes,none,1.5,0.1,0.0,0.2,0.1,0.0,0.0,0.8,0.1,0.2,0.0,0.0,0.0,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0
1039,Modern Art,Impressionism,Edouard Manet,Effect of Snow at Petit-Montrouge,1870,yes,none,1.09,0.0,0.0,0.273,0.0,0.0,0.0,0.273,0.0,0.182,0.273,0.0,0.091,0.091,0.0,0.273,0.0,0.0,0.182,0.182,0.0
1043,Modern Art,Impressionism,Frederic Bazille,Negress with Peonies,1870,yes,face,1.81,0.078,0.022000000000000002,0.1,0.011000000000000001,0.011000000000000001,0.022000000000000002,0.044000000000000004,0.078,0.36700000000000005,0.444,0.18899999999999997,0.21100000000000002,0.022000000000000002,0.044000000000000004,0.17800000000000002,0.055999999999999994,0.044000000000000004,0.022000000000000002,0.289,0.0
1045,Modern Art,Impressionism,Marie Bracquemond,Self-portrait,1870,yes,face,1.82,0.091,0.0,0.091,0.273,0.0,0.0,0.0,0.091,0.091,0.273,0.0,0.0,0.0,0.091,0.182,0.0,0.091,0.091,0.455,0.0
1047,Modern Art,Impressionism,Giovanni Fattori,Frau Martelli in Castiglioncello,1870,yes,face,1.8,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
1048,Modern Art,Impressionism,Jules Dupre,Choppy Sea,1870,yes,none,1.64,0.091,0.091,0.273,0.091,0.182,0.091,0.273,0.091,0.091,0.182,0.091,0.0,0.182,0.091,0.091,0.0,0.0,0.182,0.0,0.0
1060,Modern Art,Impressionism,Berthe Morisot,The Cradle,1872,yes,face,1.92,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.16699999999999998,0.5,0.083,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.33299999999999996,0.0
1069,Modern Art,Impressionism,Louise Abb&#233;ma,A Game of Croquet,1872,yes,face,1.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0
1073,Modern Art,Impressionism,Edgar Degas,Dance Class at the Opera,1872,yes,face,2.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,1.0,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0
